Actual,Predicted
1929.23,1929.2299999999996
8075.67,8075.670000000001
5947.84,5947.84
1576.22,1576.2199999999993
804.1,804.0999999999999
3611.8,3611.7999999999965
3372.23,3372.2299999999996
818.39,818.3900000000012
2613.99,2613.990000000001
2803.99,2803.9899999999975
556.59,556.5899999999988
965.12,965.1200000000017
2966.9,2966.9000000000015
2421.04,2421.0400000000022
1813.06,1813.060000000001
2625.6000000000004,2625.6000000000017
2470.3,2470.2999999999997
6404.39,6404.390000000003
991.64,991.6400000000017
523.74,523.7399999999993
539.56,539.5600000000036
63.25,63.24999999999818
7977.76,7977.759999999997
5793.83,5793.830000000001
2728.6200000000003,2728.619999999999
7191.15,7191.1500000000015
4175.64,4175.6399999999985
3371.6,3371.5999999999995
4678.1,4678.0999999999985
2926.44,2926.439999999999
1976.24,1976.2399999999982
798.1700000000001,798.1700000000023
5986.160000000001,5986.160000000005
1250.68,1250.6799999999982
115.59,115.59000000000287
515.26,515.2600000000011
4206.66,4206.66
912.8,912.8000000000034
1030.87,1030.8699999999972
4678.93,4678.930000000002
1472.2,1472.2000000000016
3955.95,3955.949999999999
4200.65,4200.6500000000015
4822.77,4822.769999999998
6068.88,6068.879999999999
160.6,160.5999999999999
1405.28,1405.2800000000013
4121.36,4121.360000000001
124.5,124.49999999999727
228.32,228.3199999999979
283.91,283.90999999999985
3750.4,3750.4000000000015
1024.17,1024.1699999999996
3247.72,3247.7199999999975
5550.61,5550.609999999997
1829.1,1829.1000000000015
2373.57,2373.5700000000015
1577.43,1577.4300000000003
4801.86,4801.859999999999
3250.62,3250.620000000001
2319.8,2319.7999999999984
3371.6,3371.5999999999995
3727.27,3727.270000000001
6373.820000000001,6373.82
3818.87,3818.8700000000013
41.5,41.5
1249.4,1249.399999999999
7911.9,7911.899999999999
768.83,768.8299999999986
207.5,207.49999999999773
966.82,966.8200000000024
2118.42,2118.4199999999983
4133.32,4133.319999999999
1546.32,1546.3200000000024
129.74,129.74000000000024
1611.4199999999998,1611.4200000000014
2297.5,2297.5
4175.64,4175.6399999999985
11416.45,11416.449999999997
3478.62,3478.6200000000044
5648.32,5648.3200000000015
4833.200000000001,4833.200000000001
1782.45,1782.4500000000046
4291.509999999999,4291.510000000003
2359.06,2359.060000000002
1801.89,1801.890000000001
510.57,510.5700000000029
7192.08,7192.080000000001
927.92,927.9200000000001
8099.09,8099.089999999999
2548.06,2548.0600000000004
3164.76,3164.759999999999
2368.24,2368.240000000004
2349.7,2349.7000000000003
3611.8,3611.7999999999993
4301.15,4301.15
207.5,207.4999999999991
130.02,130.01999999999816
4286.48,4286.480000000001
155.54000000000002,155.54000000000087
3474.33,3474.330000000001
1805.35,1805.3499999999997
6177.52,6177.519999999997
5511.67,5511.67
1788.47,1788.4699999999993
8005.860000000001,8005.8600000000015
3260.84,3260.840000000003
1780.75,1780.7500000000005
87.8,87.80000000000109
5852.2,5852.200000000003
3681.61,3681.6099999999997
1872.3,1872.3
83.0,83.00000000000045
7077.69,7077.689999999997
5698.4,5698.4
495.22,495.22000000000025
8223.1,8223.099999999999
55.14,55.14000000000124
798.26,798.2600000000002
781.52,781.5199999999995
1451.8300000000002,1451.8300000000013
1572.82,1572.82
1753.35,1753.350000000003
3535.08,3535.0800000000036
1083.69,1083.6899999999996
11425.22,11425.219999999994
1378.5,1378.4999999999998
6928.81,6928.810000000001
459.5,459.50000000000136
3622.53,3622.5300000000007
86.72,86.7199999999998
244.58,244.58000000000084
5823.639999999999,5823.640000000001
1183.05,1183.050000000002
3863.19,3863.1900000000005
4777.82,4777.8200000000015
201.09,201.0900000000006
4887.64,4887.639999999999
3955.95,3955.9499999999994
5068.98,5068.979999999999
487.49,487.49000000000296
157.29000000000002,157.29000000000133
145.25,145.25
2308.87,2308.8699999999967
2954.73,2954.7300000000023
2224.59,2224.590000000001
207.5,207.49999999999727
7204.34,7204.34
2223.27,2223.2699999999954
4719.6,4719.5999999999985
151.15,151.1500000000019
2409.97,2409.9699999999975
1571.46,1571.4600000000012
3711.68,3711.679999999998
4029.38,4029.3800000000037
3409.57,3409.5700000000015
2334.9,2334.8999999999996
8224.41,8224.41
1689.66,1689.6600000000024
2500.53,2500.529999999997
3145.64,3145.6399999999967
2690.19,2690.190000000002
7603.47,7603.4699999999975
2394.67,2394.670000000002
2508.51,2508.5099999999998
10368.48,10368.479999999996
5146.839999999999,5146.840000000001
4773.570000000001,4773.5700000000015
755.8,755.8000000000006
292.73,292.7299999999991
7977.17,7977.17
3443.65,3443.650000000001
2130.0,2130.000000000001
9130.35,9130.349999999999
